id,organism,fasta_file,title,description,is_shown
20,1,/usr/local/i5k/media/blast/db/agla_OGS_v1_2_peptide.fa,agla_OGS_v1_2_peptide.fa,"Anoplophora glabripennis peptides, OGSv1.2",True
104,1,/usr/local/i5k/media/blast/db/anogla_OGSv1.3_pep.fa,anogla_OGSv1.3_pep.fa,"Anoplophora glabripennis OGSv1.3, peptides",True
33,22,/usr/local/i5k/media/blast/db/aug3.1.aa_new_ids.fa,aug3.1.aa_new_ids.fa,Augustus_set_v3.0_proteins,True
106,37,/usr/local/i5k/media/blast/db/blager_OGSv1.2_pep.fa,blager_OGSv1.2_pep.fa,"Blattella germanica OGSv1.2, peptides",True
99,72,/usr/local/i5k/media/blast/db/bomimp_OGSv1.1_pep_new.fa,bomimp_OGSv1.1_pep_new.fa,"Bombus impatiens OGSv1.1, peptide",True
21,4,/usr/local/i5k/media/blast/db/clec_OGS_v1_2_peptide.fa,clec_OGS_v1_2_peptide.fa,"Cimex lectularius OGS v1.2, peptides",True
122,14,/usr/local/i5k/media/blast/db/ephdan_OGSv1.0_pep.fa,ephdan_OGSv1.0_pep.fa,"Ephemera danica ephdan_OGSv1.0, proteins",True
25,41,/usr/local/i5k/media/blast/db/fopari_v100_protein.fa,fopari_v100_protein.fa,"Fopius arisanus - NCBI annotation release 100, proteins",True
101,26,/usr/local/i5k/media/blast/db/gerbue_OGSv1.1_pep.fa,gerbue_OGSv1.1_pep.fa,"Gerris buenoi OGSv1.1, proteins",True
118,36,/usr/local/i5k/media/blast/db/halhal_OGSv1.2_pep.fa,halhal_OGSv1.2_pep.fa,"Halyomorpha halys Official Gene Set v1.2, proteins",True
32,35,/usr/local/i5k/media/blast/db/hf_OGS1.0.pep.fasta,hf_OGS1.0.pep.fasta,"Mayetiola destructor OGS_v1.0, proteins",True
113,75,/usr/local/i5k/media/blast/db/laostr_OGSv1.2_pep.faa,laostr_OGSv1.2_pep.faa,"Laodelphax striatellus laostr_OGSv1.2, proteins",True
92,18,/usr/local/i5k/media/blast/db/lepdec_OGSv1.2_GCF_000500325.1_pep.fa,lepdec_OGSv1.2_GCF_000500325.1_pep.fa,"Leptinotarsa decemlineata OGSv1.2, proteins",True
72,60,/usr/local/i5k/media/blast/db/locust.OGS_preQC.gff3.pep,locust.OGS_preQC.gff3.pep,"Locusta migratoria JAMg OGS v1, proteins",True
